cancion,cantante,año,duracion_minutos,album,explicito
White Wedding (Pts. 1 & 2) - Shotgun Mix / Remastered 2001,Billy Idol,1985,8.418216666666666,Vital Idol,False
Blue Monday,New Order,1987,7.486,Substance,False
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,1986,5.80555,Secret Dreams and Forbidden Fire,False
Like a Prayer,Madonna,2009,5.711333333333333,Celebration (double disc version),False
True - Single Edit,Spandau Ballet,2008,5.485766666666667,True - The Digital E.P.,False
Love Shack,The B-52's,1989,5.344666666666667,Cosmic Thing,False
Thriller - 2003 Edit,Michael Jackson,1979,5.190666666666667,Number Ones,False
Walk This Way (feat. Aerosmith),Run–D.M.C.,1986,5.1731,Raising Hell,False
Easy Lover,Philip Bailey,1984,5.097766666666667,Chinese Wall (Expanded Edition),False
We Built This City,Starship,1985,4.934666666666667,Knee Deep In The Hoopla,False
Africa,TOTO,1982,4.93155,Toto IV,False
We Don't Have To Take Our Clothes Off,Jermaine Stewart,2011,4.887333333333333,Frantic Romantic,False
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,4.854883333333333,Whitney,False
Gold - 2003 Remaster,Spandau Ballet,1983,4.8453333333333335,True (Special Edition),False
The Boys Of Summer,Don Henley,1984,4.812216666666667,Building The Perfect Beast,False
Come On Eileen,Dexys Midnight Runners,1982,4.788433333333334,Too Rye Ay,False
West End Girls - 2018 Remaster,Pet Shop Boys,1986,4.7651,Please: Further Listening 1984 - 1986 (2018 Remaster),False
99 Red Balloons (Club Mix),Nena,2004,4.690883333333334,Maxis & Mixes,False
Ain't Nobody,Chaka Khan,1996,4.680883333333333,"Epiphany: The Best of Chaka Khan, Vol. 1",False
You Can Call Me Al,Paul Simon,1986,4.666666666666667,Graceland (25th Anniversary Deluxe Edition),False
I Still Haven't Found What I'm Looking For,U2,1987,4.6246,The Joshua Tree (Super Deluxe),False
Here I Go Again - 2018 Remaster,Whitesnake,1987,4.589916666666666,Whitesnake (2018 Remaster),False
Loco in Acapulco,Four Tops,1988,4.5677666666666665,Indestructible,False
Don't Leave Me This Way (with Sarah Jane Morris),The Communards,1986,4.517766666666667,Communards,False
Dancing On The Ceiling,Lionel Richie,1986,4.512,Dancing On The Ceiling (Expanded Edition),False
Don't You (Forget About Me),Simple Minds,1985,4.384,Once Upon A Time (Super Deluxe),False
"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",Deniece Williams,1984,4.374,Let's Hear It for the Boy (Expanded Edition),False
