cancion,cantante,año,duracion_minutos,album,explicito
November Rain,Guns N' Roses,1991,8.934433333333333,Use Your Illusion I,False
Bitter Sweet Symphony - Remastered 2016,The Verve,1997,5.954433333333333,Urban Hymns (Remastered 2016),False
Always,Bon Jovi,1994,5.883766666666666,Cross Road,False
Alive,Pearl Jam,1991,5.681783333333334,Ten,False
Knockin' On Heaven's Door,Guns N' Roses,1991,5.6,Use Your Illusion II,False
Enter Sandman (Remastered),Metallica,1991,5.526,Metallica (Remastered),False
Californication,Red Hot Chili Peppers,1999,5.49555,Californication (Deluxe Edition),False
If It Makes You Happy,Sheryl Crow,1996,5.39,Sheryl Crow,False
Everybody Hurts,R.E.M.,1992,5.337766666666667,Automatic For The People,False
Doo Wop (That Thing),Ms. Lauryn Hill,1998,5.337766666666667,The Miseducation of Lauryn Hill,False
Black Hole Sun,Soundgarden,1994,5.3097666666666665,Superunknown (Deluxe Edition),False
Crazy,Aerosmith,1993,5.280433333333334,Get A Grip,False
Wind Of Change,Scorpions,1990,5.206,Crazy World,False
Zombie,The Cranberries,1994,5.107333333333333,No Need To Argue (The Complete Sessions 1994-1995),False
No Diggity,Blackstreet,1996,5.076666666666667,Another Level,False
Smells Like Teen Spirit,Nirvana,1991,5.032,Nevermind (Remastered),False
You Get What You Give,New Radicals,1998,5.012883333333333,Maybe You've Been Brainwashed Too,False
Killing Me Softly With His Song,Fugees,1996,4.97955,The Score (Expanded Edition),True
Fade Into You,Mazzy Star,1993,4.926666666666667,So Tonight That I Might See,False
What's Up?,4 Non Blondes,1992,4.92555,"Bigger, Better, Faster, More !",False
Thunderstruck,AC/DC,1990,4.881333333333333,The Razors Edge,False
Even Flow,Pearl Jam,1991,4.876333333333333,Ten,True
Iris,The Goo Goo Dolls,1998,4.82555,Dizzy up the Girl,False
Wicked Game,Chris Isaak,1989,4.8177666666666665,Heart Shaped World,False
Kiss from a Rose,Seal,1994,4.8071,Seal,False
Don't Cry (Original),Guns N' Roses,1991,4.728883333333333,Use Your Illusion I,False
Give It Away,Red Hot Chili Peppers,1991,4.7151,Blood Sugar Sex Magik (Deluxe Edition),False
Heart-Shaped Box,Nirvana,1993,4.686,In Utero (Deluxe Edition),False
Nothing Compares 2 U,Sinéad O'Connor,1990,4.667333333333334,I Do Not Want What I Haven't Got,False
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,1997,4.666666666666667,Let's Talk About Love,False
Waterfalls,TLC,1994,4.658433333333333,Crazysexycool,False
One,U2,1991,4.6031,Achtung Baby (Deluxe Edition),False
Linger,The Cranberries,1993,4.578433333333333,"Everybody Else Is Doing It, So Why Can't We?",False
Mr. Jones,Counting Crows,1993,4.538216666666667,August And Everything After,False
All I Wanna Do,Sheryl Crow,1993,4.5351,Tuesday Night Music Club,False
I Will Always Love You,Whitney Houston,1992,4.5182166666666665,The Bodyguard - Original Soundtrack Album,False
Still D.R.E.,Dr. Dre,1999,4.509766666666667,2001,True
"What Is Love - 7"" Mix",Haddaway,1993,4.506216666666667,The Album,False
Changes,2Pac,1998,4.480433333333333,Greatest Hits,True
Losing My Religion,R.E.M.,1991,4.473766666666666,Out Of Time (25th Anniversary Edition),False
My Name Is,Eminem,1999,4.473333333333334,The Slim Shady LP,True
Semi-Charmed Life,Third Eye Blind,1997,4.472666666666667,Third Eye Blind,False
1979 - Remastered 2012,The Smashing Pumpkins,1995,4.4366666666666665,Mellon Collie And The Infinite Sadness (Deluxe Edition),False
Angels,Robbie Williams,1997,4.416666666666667,Life Thru A Lens,False
Under the Bridge,Red Hot Chili Peppers,1991,4.4051,Blood Sugar Sex Magik (Deluxe Edition),False
Karma Police,Radiohead,1997,4.4011,OK Computer,False
Don't Speak,No Doubt,1995,4.392666666666667,Tragic Kingdom,False
Maria Maria (feat. The Product G&B),Santana,1999,4.366216666666666,Supernatural (Remastered),False
The Man Who Sold The World - Live,Nirvana,1994,4.35155,MTV Unplugged In New York,False
My Hero,Foo Fighters,1997,4.3337666666666665,The Colour And The Shape,False
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1990,4.3131,It Must Have Been Love,False
Wonderwall - Remastered,Oasis,1995,4.312883333333334,(What's The Story) Morning Glory? (Deluxe Remastered Edition),False
Self Esteem,The Offspring,1994,4.2971,Smash,False
High and Dry,Radiohead,1995,4.291333333333333,The Bends,False
Otherside,Red Hot Chili Peppers,1999,4.256216666666667,Californication (Deluxe Edition),False
I Got 5 On It,Luniz,1995,4.22555,Operation Stackola,False
Regulate,Warren G,1994,4.147766666666667,Regulate… G Funk Era,True
Torn,Natalie Imbruglia,1997,4.077766666666666,Left Of The Middle,False
Fantasy,Mariah Carey,1995,4.058216666666667,Daydream,False
