cancion,cantante,año,duracion_minutos,album,explicito
Livin' la Vida Loca,Ricky Martin,1999,4.052666666666667,Ricky Martin,False
It Ain't Over 'Til It's Over,Lenny Kravitz,1991,4.044,Mama Said,False
Gangsta's Paradise,Coolio,1995,4.01155,Gangsta's Paradise,False
Believe,Cher,1998,3.9837666666666665,Believe,False
Creep,Radiohead,1993,3.977333333333333,Pablo Honey,True
"Nuthin' But A ""G"" Thang",Dr. Dre,1992,3.95955,The Chronic,True
Learn to Fly,Foo Fighters,1999,3.92155,There Is Nothing Left To Lose,False
It Wasn't Me,Shaggy,2000,3.7933333333333334,Hot Shot,False
Shiny Happy People,R.E.M.,1991,3.7631,Out Of Time (25th Anniversary Edition),False
Fly Away,Lenny Kravitz,1998,3.6888666666666667,5,False
Mambo No. 5 (a Little Bit of...),Lou Bega,1999,3.67155,A Little Bit of Mambo,False
Come As You Are,Nirvana,1991,3.6486666666666667,Nevermind (Remastered),False
Thank You,Dido,1999,3.6393333333333335,No Angel,False
Genie In a Bottle,Christina Aguilera,1999,3.6262166666666666,Christina Aguilera (Expanded Edition),False
No Rain,Blind Melon,1992,3.6184333333333334,Blind Melon,False
Scar Tissue,Red Hot Chili Peppers,1999,3.5984333333333334,Californication (Deluxe Edition),False
Better Off Alone,Alice Deejay,2000,3.581383333333333,Who Needs Guitars Anyway?,False
No Scrubs,TLC,1999,3.5733333333333333,Fanmail,False
"Freed From Desire - prod. Molella, Phil Jay",Gala,1997,3.556566666666667,Come Into My Life (The Album),False
I Want It That Way,Backstreet Boys,1999,3.5551,Millennium,False
Return of the Mack,Mark Morrison,1996,3.55155,Return of the Mack,False
All That She Wants,Ace of Base,1993,3.5202166666666668,The Sign,False
...Baby One More Time,Britney Spears,1999,3.5177666666666667,...Baby One More Time (Digital Deluxe Version),False
Kiss Me,Sixpence None The Richer,1997,3.478,Sixpence None the Richer,False
"Boom, Boom, Boom, Boom!!",Vengaboys,1999,3.3763833333333335,The Party Album!,False
All Star,Smash Mouth,1999,3.33955,Astro Lounge,False
Barbie Girl,Aqua,1997,3.2993333333333332,Aquarium (Special Edition),False
Lovefool,The Cardigans,1996,3.23255,First Band On The Moon (Remastered),False
Lemon Tree,Fools Garden,1995,3.1837666666666666,Dish of the Day,False
Pretty Fly (For A White Guy),The Offspring,1998,3.144433333333333,Americana,False
Santeria,Sublime,1996,3.0457666666666667,Sublime,False
Basket Case,Green Day,1994,3.02555,Dookie,False
Alright,Supergrass,1995,3.014666666666667,I Should Coco,False
The Kids Aren't Alright,The Offspring,1998,3.002666666666667,Americana,False
When I Come Around,Green Day,1994,2.966666666666667,Dookie,False
Wannabe,Spice Girls,1996,2.883766666666667,Spice,False
All The Small Things,blink-182,1999,2.7844333333333333,Enema Of The State,False
Buddy Holly,Weezer,1994,2.653766666666667,Weezer,False
Good Riddance (Time of Your Life),Green Day,1997,2.5577666666666667,Nimrod,True
What's My Age Again?,blink-182,1999,2.4726666666666666,Enema Of The State,True
Song 2 - 2012 Remaster,Blur,1997,2.0193333333333334,Blur (Special Edition),False
