cancion,cantante,año,duracion_minutos,album,explicito
Me and Bobby McGee,Janis Joplin,2003,4.510433333333333,The Essential Janis Joplin,False
California Dreamin' - Single Version,The Mamas & The Papas,1966,2.7062166666666667,If You Can Believe Your Eyes & Ears,False
San Francisco (Be Sure to Wear Some Flowers In Your Hair),Scott McKenzie,1967,2.9822166666666665,The Voice of Scott McKenzie (Expanded Edition),False
Hey Joe,Jimi Hendrix,1997,3.4968833333333333,Experience Hendrix: The Best Of Jimi Hendrix,False
"American Pie, Pt. 1",Don McLean,2008,4.1085666666666665,Playlist: 70s Pop,False
These Boots Are Made For Walkin',Nancy Sinatra,1966,2.7668,Boots,False
All Day And All Of The Night,The Kinks,2014,2.3746666666666667,The Anthology 1964 - 1971,False
Sweet Caroline,Neil Diamond,1969,3.3928833333333333,Sweet Caroline,False
Somebody to Love,Jefferson Airplane,1967,2.914,Surrealistic Pillow,False
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,1966,2.7074333333333334,How Does That Grab You?,False
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,1965,2.671333333333333,Four Tops Second Album,False
"Shout, Pts. 1 & 2",The Isley Brothers,1959,4.476,Shout!,False
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,1965,3.8226666666666667,Turn! Turn! Turn!,False
Wouldn't It Be Nice,The Beach Boys,1966,2.5534166666666667,Pet Sounds (Original Mono & Stereo Mix),False
In the Ghetto,Elvis Presley,2002,2.95955,Elvis 30 #1 Hits,False
Summer in the City - Remastered,The Lovin' Spoonful,1966,2.6717666666666666,Hums Of The Lovin' Spoonful,False
Gimme Shelter,The Rolling Stones,1969,4.512883333333333,Let It Bleed,False
Jump in the Line,Harry Belafonte,2017,3.6891,The Legacy of Harry Belafonte: When Colors Come Together,False
Suzanne,Leonard Cohen,1967,3.82155,Songs Of Leonard Cohen,False
Son Of A Preacher Man,Dusty Springfield,1969,2.46755,Dusty In Memphis,False
Blowin' in the Wind,Bob Dylan,1963,2.7571,The Freewheelin' Bob Dylan,False
Born To Be Wild,Steppenwolf,1968,3.5062166666666665,Steppenwolf,False
Put Your Head on My Shoulder,Paul Anka,1966,2.5846666666666667,Sings His Favorites,False
Then He Kissed Me,The Crystals,2011,2.64755,Da Doo Ron Ron: The Very Best of The Crystals,False
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,1968,2.7264333333333335,Aerial Ballet,False
I'm a Believer - 2006 Remaster,The Monkees,1967,2.78955,More of The Monkees (Deluxe Edition),False
Only the Lonely (Know the Way I Feel),Roy Orbison,2016,2.4206666666666665,The Ultimate Collection,False
It's Your Thing,The Isley Brothers,1969,2.82155,It's Our Thing,False
Louie Louie,The Kingsmen,2006,2.75635,The Best of The Kingsmen,False
Da Doo Ron Ron (When He Walked Me Home),The Crystals,2011,2.3353333333333333,Da Doo Ron Ron: The Very Best of The Crystals,False
Do You Believe in Magic?,The Lovin' Spoonful,1965,2.0971,Do you Believe In Magic,False
Hey Jude - Remastered 2015,The Beatles,2000,7.094216666666667,1 (Remastered),False
Cupid,Sam Cooke,1962,2.63355,The Best of Sam Cooke,False
Cry Baby,Janis Joplin,2003,3.9566666666666666,The Essential Janis Joplin,False
Mr. Tambourine Man,The Byrds,1965,2.4911,Mr. Tambourine Man,False
You Can't Hurry Love,The Supremes,1966,2.7988833333333334,The Supremes A' Go-Go (Expanded Edition),False
American Woman,The Guess Who,1970,5.124883333333333,American Woman,False
Black Is Black,Los Bravos,2000,2.9433333333333334,Black Is Black,False
Little Wing,Jimi Hendrix,1967,2.4291,Axis: Bold As Love,False
I Got You (I Feel Good),James Brown,2003,2.76755,The 50th Anniversary Collection,False
Heart Full of Soul,The Yardbirds,1965,2.4648833333333333,The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling,False
The Letter,The Box Tops,1967,1.88,The Letter/Neon Rainbow,False
Can't Take My Eyes Off You,Andy Williams,1963,3.20555,"Can't Get Used To Losing You / Love, Andy",False
I Say a Little Prayer,Aretha Franklin,1968,3.6128833333333334,Aretha Now,False
Moon River(Vocal Audrey Hepburn),Henry Mancini,1961,2.0930833333333334,Breakfast At Tiffany's (50th Anniversary Edition),False
Runaway,Del Shannon,1961,2.2884333333333333,Runaway with Del Shannon,False
America,Simon & Garfunkel,1968,3.588216666666667,Bookends,False
Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.564883333333333,Led Zeppelin II (1994 Remaster),False
Dance to the Music,Sly & The Family Stone,1968,2.9904333333333333,Dance To The Music,False
You Send Me,Sam Cooke,2000,2.7077666666666667,The Man Who Invented Soul,False
At Last,Etta James,1960,2.994883333333333,At Last!,False
Hang On Sloopy,The McCoys,1995,3.8633333333333333,Hang On Sloopy: The Best Of The McCoys,False
"Baby, I Love You",The Ronettes,2011,2.858,Be My Baby: The Very Best of The Ronettes,False
Bring a Little Lovin',Los Bravos,1968,2.3571,Dame un Poco de Amor,False
Good Vibrations - Remastered 2001,The Beach Boys,1967,3.6504333333333334,Smiley Smile (Remastered),False
I Wish I Knew How It Would Feel to Be Free,Nina Simone,1998,3.148216666666667,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,False
Everlasting Love,Love Affair,1968,3.0444333333333335,The Everlasting Love Affair,False
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,1967,2.985333333333333,Higher And Higher,False
Didn't I (Blow Your Mind This Time),The Delfonics,1970,3.3511,The Delfonics,False
