cancion,cantante,año,duracion_minutos,album,explicito
"Oh, Pretty Woman",Roy Orbison,1962,2.9822166666666665,"Oh, Pretty Woman",False
Can't Help Falling in Love,Elvis Presley,1961,3.0393333333333334,Blue Hawaii,False
Brown Eyed Girl,Van Morrison,1967,3.0551,Blowin' Your Mind!,False
Mr. Tambourine Man,Bob Dylan,1965,5.508883333333333,Bringing It All Back Home,False
Ain't No Mountain High Enough,Marvin Gaye,1967,2.5277666666666665,United,False
(What A) Wonderful World,Sam Cooke,2000,2.0906666666666665,The Man Who Invented Soul,False
The Sound of Silence,Simon & Garfunkel,1968,3.0906666666666665,The Graduate,False
Here Comes The Sun - Remastered 2009,The Beatles,1969,3.09555,Abbey Road (Remastered),False
Suspicious Minds,Elvis Presley,2002,4.539333333333333,Elvis 30 #1 Hits,False
Like a Rolling Stone,Bob Dylan,1965,6.16,Highway 61 Revisited,False
"Sugar, Sugar",The Archies,1968,2.7285833333333334,Sugar Sugar,False
Happy Together,The Turtles,1967,2.9382166666666665,Happy Together,False
Fortunate Son,Creedence Clearwater Revival,1969,2.346216666666667,Willy And The Poor Boys (Expanded Edition),False
Ring of Fire,Johnny Cash,1963,2.640433333333333,Ring Of Fire: The Best Of Johnny Cash,False
Cecilia,Simon & Garfunkel,1970,2.9137666666666666,Bridge Over Troubled Water,False
"It's All Over Now, Baby Blue",Bob Dylan,1965,4.2011,Bringing It All Back Home,False
Respect,Aretha Franklin,2010,2.4497666666666666,Pure... Divas,False
Mrs. Robinson,Simon & Garfunkel,2003,4.054883333333334,The Essential Simon & Garfunkel,False
House of the Rising Sun,The Animals,1987,4.498433333333334,The Singles Plus,False
Bring It On Home to Me,Sam Cooke,2000,2.7088833333333335,The Man Who Invented Soul,False
The Times They Are A-Changin',Bob Dylan,1964,3.2008833333333335,The Times They Are A-Changin',False
"Paint It, Black",The Rolling Stones,1966,3.3711,Aftermath,False
All Along the Watchtower,Jimi Hendrix,1968,4.013333333333334,Electric Ladyland,False
Be My Baby,The Ronettes,2011,2.681766666666667,Be My Baby: The Very Best of The Ronettes,False
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,Out Of Our Heads,False
White Rabbit,Jefferson Airplane,1967,2.510666666666667,Surrealistic Pillow,False
Bridge Over Troubled Water,Simon & Garfunkel,1970,4.8853333333333335,Bridge Over Troubled Water,False
Stand By Me,Ben E. King,1962,3.0009166666666665,Don't Play That Song (Mono),False
The Lion Sleeps Tonight (Wimoweh),The Tokens,1994,2.6866666666666665,The Lion Sleeps Tonight,False
The Boxer,Simon & Garfunkel,1970,5.142,Bridge Over Troubled Water,False
My Girl,The Temptations,1965,2.75,The Temptations Sing Smokey,False
Black Magic Woman,Santana,2007,3.2644333333333333,Ultimate Santana,False
Subterranean Homesick Blues,Bob Dylan,1965,2.3548833333333334,Bringing It All Back Home,False
(Sittin' On) the Dock of the Bay,Otis Redding,1968,2.72925,The Dock of the Bay (Mono),False
Piece of My Heart,Big Brother & The Holding Company,1968,4.222216666666666,Cheap Thrills,False
Everyday People,Sly & The Family Stone,1969,2.358433333333333,Stand,False
Bad Moon Rising,Creedence Clearwater Revival,1969,2.36,Green River (40th Anniversary Edition),False
You Really Got Me - Remastered,The Kinks,2014,2.2344333333333335,The Anthology 1964 - 1971,False
Purple Haze,Jimi Hendrix,1967,2.8468833333333334,Are You Experienced,False
Come Together - Remastered 2009,The Beatles,1969,4.332433333333333,Abbey Road (Remastered),False
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,1968,2.7108833333333333,At Folsom Prison,False
