cancion,cantante,año,duracion_minutos,album,explicito
Never Be The Same Again,Melanie C,1999,4.903333333333333,Northern Star,False
Gotta Tell You,Samantha Mumba,2000,3.336,Gotta Tell You,False
No More,Ruff Endz,2000,4.042666666666666,Love Crimes,False
Rise,GABRIELLE,2001,3.65155,Rise,False
Separated,Avant,2000,4.26,My Thoughts,False
Shake Ya Ass (feat. Pharrell Williams),Mystikal,2000,4.282866666666667,Let's Get Ready,True
Be With You,Enrique Iglesias,1999,3.656,Enrique,False
Let's Get Married,Jagged Edge,2000,4.3871,J.E. Heartbreak,False
The Way You Love Me,Faith Hill,1999,3.1011,Breathe,False
There You Go,P!nk,2000,3.38,Can't Take Me Home (Expanded Edition),False
Wonderful,Everclear,2000,4.6802166666666665,Songs From An American Movie: Learning How To Smile,False
You Sang To Me,Marc Anthony,1999,5.7851,Marc Anthony,False
Don't Call Me Baby,Madison Avenue,1999,3.8023333333333333,Don't Call Me Baby,False
I Wish,Carl Thomas,2000,3.779333333333333,Emotional,False
Case Of The Ex (Whatcha Gonna Do),Mýa,2000,3.9471,Fear Of Flying,False
Bent,Matchbox Twenty,2000,4.268883333333333,Mad Season,False
Freestyler,Bomfunk MC's,2000,5.10555,Freestyler,False
Get It On Tonite,Montell Jordan,2015,4.62355,Best Of Montell Jordan,False
Wifey,Next,2004,4.0611,Platinum & Gold Collection,False
Reach,S Club,2000,4.054416666666667,"""7""",False
Crash and Burn,Savage Garden,1999,4.6911,Affirmation,False
Dancing in the Moonlight,Toploader,2000,3.878216666666667,Onka's Big Moka,False
Don't Give Up,Chicane,2016,3.5131,Twenty,False
Desert Rose,Sting,1999,4.764883333333334,Brand New Day,False
