cancion,cantante,año,duracion_minutos,album,explicito
Oops!...I Did It Again,Britney Spears,2000,3.5193333333333334,Oops!... I Did It Again,False
All The Small Things,blink-182,1999,2.7844333333333333,Enema Of The State,False
Breathe,Faith Hill,1999,4.175766666666667,Breathe,False
It's My Life,Bon Jovi,2000,3.74155,Crush,False
Bye Bye Bye,*NSYNC,2000,3.34,No Strings Attached,False
Thong Song,Sisqo,1999,4.228883333333333,Unleash The Dragon,True
The Real Slim Shady,Eminem,2000,4.736666666666666,The Marshall Mathers LP,True
Rock DJ,Robbie Williams,2013,4.342666666666666,Sing When You're Winning,False
Say My Name,Destiny's Child,1999,4.522216666666667,The Writing's On The Wall,False
Yellow,Coldplay,2000,4.4462166666666665,Parachutes,False
In the End,Linkin Park,2000,3.6146666666666665,Hybrid Theory (Bonus Edition),False
Otherside,Red Hot Chili Peppers,1999,4.256216666666667,Californication (Deluxe Edition),False
Kryptonite,3 Doors Down,2000,3.8988833333333335,The Better Life,False
The Next Episode,Dr. Dre,1999,2.6917666666666666,2001,True
Lady - Hear Me Tonight,Modjo,2001,5.1192166666666665,Modjo (Remastered),False
Teenage Dirtbag,Wheatus,1999,4.0277666666666665,Wheatus,True
Better Off Alone,Alice Deejay,2000,3.581383333333333,Who Needs Guitars Anyway?,False
L'Amour Toujours,Gigi D'Agostino,2001,4.034216666666667,L'Amour Toujours,False
Forgot About Dre,Dr. Dre,1999,3.7048833333333335,2001,True
Higher,Creed,1999,5.278883333333333,Human Clay,False
Maria Maria (feat. The Product G&B),Santana,1999,4.366216666666666,Supernatural (Remastered),False
Take A Look Around,Limp Bizkit,2000,5.350666666666666,Chocolate Starfish And The Hot Dog Flavored Water,False
Shape of My Heart,Backstreet Boys,2000,3.8348833333333334,Black & Blue,False
Party Up,DMX,1999,4.4811,...And Then There Was X,True
Sandstorm,Darude,2001,3.7582166666666668,"Before the Storm, Special Edition",False
"Jumpin', Jumpin'",Destiny's Child,1999,3.8366666666666664,The Writing's On The Wall,False
It's Gonna Be Me,*NSYNC,2000,3.2071,No Strings Attached,False
7 Days,Craig David,2000,3.9188833333333335,Born to Do It,False
Big Pimpin',JAY-Z,1999,4.717766666666667,Vol. 3... Life And Times Of S. Carter,True
My Love,Westlife,2000,3.8626666666666667,Coast To Coast (Expanded Edition),False
Breathless,The Corrs,2000,3.4584333333333332,In Blue,False
Can't Fight The Moonlight,LeAnn Rimes,2001,3.5917666666666666,I Need You,False
Show Me the Meaning of Being Lonely,Backstreet Boys,1999,3.916,Millennium,False
Country Grammar (Hot Shit),Nelly,2000,4.783333333333333,Country Grammar,True
Amazed,Lonestar,1999,4.014433333333334,Lonely Grill,False
With Arms Wide Open,Creed,1999,4.58,Human Clay,False
Try Again,Aaliyah,2001,4.744,Aaliyah,False
Lucky,Britney Spears,2000,3.4371,Oops!... I Did It Again,False
I Wanna Know,Joe,2000,4.944883333333333,My Name Is Joe,False
He Wasn't Man Enough,Toni Braxton,2000,4.36555,The Heat,False
Sexbomb,Tom Jones,1999,3.53155,Reload,False
This I Promise You,*NSYNC,2000,4.746,No Strings Attached,False
Who Let The Dogs Out,Baha Men,2000,3.3066666666666666,Who Let The Dogs Out,False
The Riddle,Gigi D'Agostino,1999,4.7571,L'Amour Toujours,False
Beautiful Day,U2,2000,4.1066666666666665,All That You Can't Leave Behind,False
"Independent Women, Pt. 1",Destiny's Child,2001,3.68555,Survivor,False
Absolutely (Story of a Girl) - Radio Mix,Nine Days,2000,3.15555,The Madding Crowd,False
It Feels So Good,Sonique,2000,4.014433333333334,Hear My Cry,False
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Donell Jones,1999,4.062216666666667,Where I Wanna Be,True
Fool Again,Westlife,1999,3.914433333333333,Westlife,False
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,1999,3.3888833333333332,Christina Aguilera (Expanded Edition),False
Never Let You Go - 2008 Remaster,Third Eye Blind,1999,3.954,Blue,False
Incomplete,Sisqo,1999,4.570433333333333,Unleash The Dragon,True
I Hope You Dance,Lee Ann Womack,2000,4.908883333333334,I Hope You Dance,False
Take A Picture,Filter,1999,6.0633333333333335,Title Of Record (Expanded Edition),False
Shackles (Praise You),Mary Mary,2000,3.3057666666666665,Go Get It,False
What a Girl Wants,Christina Aguilera,1999,3.5966666666666667,Christina Aguilera (Expanded Edition),False
Everything You Want,Vertical Horizon,1999,4.284433333333333,Everything You Want,False
Hemorrhage (In My Hands),Fuel,2000,3.947766666666667,Something Like Human,False
Be Like That,3 Doors Down,2000,4.431766666666666,The Better Life,False
Shalala Lala,Vengaboys,2000,3.5803166666666666,The Platinum Album,False
Born to Make You Happy,Britney Spears,1999,4.058883333333333,...Baby One More Time (Digital Deluxe Version),False
That's the Way It Is,Céline Dion,2019,4.022883333333334,The Very Best of Celine Dion,False
Fill Me In,Craig David,2000,4.286666666666667,Born to Do It,False
I Just Wanna Love U (Give It 2 Me),JAY-Z,2000,3.7977666666666665,The Dynasty: Roc La Familia,True
I Turn to You,Christina Aguilera,1999,4.561766666666666,Christina Aguilera (Expanded Edition),False
I Need You,LeAnn Rimes,2001,3.830433333333333,I Need You,False
Life Is A Rollercoaster,Ronan Keating,2000,3.9137666666666666,Ronan,False
Against All Odds (Take A Look at Me Now) - Mariah Only,Mariah Carey,2000,3.36555,Against All Odds (Take A Look at Me Now) EP,False
Hey Baby (Radio Mix),DJ Ötzi,2010,3.654,Hey Baby (Uh Ah),False
She Bangs - English Version,Ricky Martin,2000,4.6771,Sound Loaded,False
Where I Wanna Be,Donell Jones,1999,4.2271,Where I Wanna Be,False
The Time Is Now,Moloko,2000,5.304666666666667,Things to Make and Do,False
Bag Lady,Erykah Badu,2000,5.814883333333333,Mama's Gun,True
Thank God I Found You (feat. Joe & 98°),Mariah Carey,1999,4.289333333333333,Rainbow,False
Move Your Body - Gabry Ponte Original Radio Edit,Eiffel 65,1999,4.48105,Europop,False
