cancion,cantante,año,duracion_minutos,album,explicito
Let It Be - Remastered 2009,The Beatles,1970,4.050433333333333,Let It Be (Remastered),False
Cecilia,Simon & Garfunkel,1970,2.9137666666666666,Bridge Over Troubled Water,False
Son of a Preacher Man,Aretha Franklin,2014,3.3211,The Queen Of Soul,False
Who'll Stop The Rain,Creedence Clearwater Revival,1970,2.4582166666666665,Cosmo's Factory (Expanded Edition),False
Big Yellow Taxi,Joni Mitchell,1970,2.2466666666666666,Ladies of the Canyon,False
I Want You Back,The Jackson 5,1969,2.9388833333333335,Diana Ross Presents The Jackson 5,False
Instant Karma! (We All Shine On) - Ultimate Mix,John Lennon,2021,3.3442166666666666,Plastic Ono Band (The Ultimate Collection),False
(They Long To Be) Close To You,Carpenters,1970,4.6,Close To You,False
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,2.686,"Signed, Sealed And Delivered",False
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,1969,4.048216666666667,Spirit In The Sky (Deluxe Edition),False
Into the Mystic - 2013 Remaster,Van Morrison,1970,3.4268833333333335,Moondance,False
Paranoid - 2012 - Remaster,Black Sabbath,1970,2.80675,Paranoid (Remaster),False
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,2.9126666666666665,Love Grows (Where My Rosemary Goes) & Other Gems,False
Fire and Rain - 2019 Remaster,James Taylor,1970,3.39355,Sweet Baby James (2019 Remaster),False
Roadhouse Blues,The Doors,1970,4.063766666666667,Morrison Hotel,False
Make It with You,Bread,1970,3.203333333333333,On the Waters,False
Bridge Over Troubled Water,Simon & Garfunkel,1970,4.8853333333333335,Bridge Over Troubled Water,False
All Right Now,Free,1970,5.510716666666666,Fire And Water,False
Lola (2020 Stereo Remaster),The Kinks,1970,4.033183333333334,"Lola Versus Powerman and the Moneygoround, Pt. 1",False
Mississippi Queen,Mountain,1970,2.52155,Climbing!,False
It's A Shame,The Spinners,1970,3.1676333333333333,2nd Time Around (Expanded Edition),False
In the Summertime,Mungo Jerry,1970,3.5313333333333334,In the Summertime,False
Black Magic Woman - Single Version,Santana,1994,3.2744333333333335,Santana's Greatest Hits,False
ABC,The Jackson 5,1970,2.914433333333333,ABC,False
The Long And Winding Road - Remastered 2009,The Beatles,1970,3.636433333333333,Let It Be (Remastered),False
Raindrops Keep Fallin' On My Head,B.J. Thomas,1968,3.0086666666666666,Super Hits,False
Cracklin' Rosie - Single Version,Neil Diamond,1970,2.998883333333333,Tap Root Manuscript,False
The Thrill Is Gone,B.B. King,1969,5.412216666666667,Completely Well,False
25 or 6 to 4 - 2002 Remaster,Chicago,1970,4.83,Chicago II,False
I'll Be There,The Jackson 5,1970,3.962666666666667,Third Album,False
Up Around The Bend,Creedence Clearwater Revival,1970,2.6911,Cosmo's Factory (Expanded Edition),False
American Woman,The Guess Who,1970,5.124883333333333,American Woman,False
Evil Ways,Santana,1969,3.9711,Santana (Legacy Edition),False
War,Edwin Starr,1970,3.3377666666666665,War And Peace,False
The Wonder of You,Elvis Presley,2007,2.5533333333333332,The Essential Elvis Presley,False
I'll Never Fall in Love Again,Dionne Warwick,1970,2.914,I'll Never Fall in Love Again,False
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,1970,3.89355,Express Yourself,False
Funk #49,James Gang,1970,4.104883333333333,Rides Again,False
No Matter What - Remastered 2010,Badfinger,1970,3.0091,No Dice (Remastered 2010 / Deluxe Edition),False
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,2.5408833333333334,Cosmo's Factory (Expanded Edition),False
Lady D'Arbanville,Yusuf / Cat Stevens,1970,3.756666666666667,Mona Bone Jakon (Remastered 2020),False
Ain't No Mountain High Enough,Diana Ross,2017,3.5866666666666664,Diamond Diana: The Legacy Collection,False
The Tears Of A Clown,Smokey Robinson & The Miracles,1967,3.03,Make It Happen,False
Snowbird,Anne Murray,1998,2.2371,This Way Is My Way,False
Amos Moses,Jerry Reed,1970,2.3204333333333333,Georgia Sunshine,False
We've Only Just Begun,Carpenters,1970,3.086,Close To You,False
No Sugar Tonight / New Mother Nature,The Guess Who,1970,4.8966666666666665,American Woman,False
Vehicle,The Ides Of March,1970,2.967766666666667,Vehicle,False
Yellow River,Christie,1970,2.766,Christie,False
Hey There Lonely Girl,Eddie Holman,1969,3.6126666666666667,I Love You,False
Come And Get It - Remastered 2010,Badfinger,1970,2.3868833333333335,Magic Christian Music (Remastered 2010 / Deluxe Edition),False
Band Of Gold (Single Mix),Freda Payne,1970,2.9682166666666667,Band Of Gold,False
The Love You Save,The Jackson 5,1970,2.9884333333333335,ABC,False
Rainy Night in Georgia,Brook Benton,1970,3.8928833333333333,Brook Benton Today,False
Ride Captain Ride,Blues Image,1970,3.759333333333333,Open (US Internet Release),False
Let's Work Together,Canned Heat,1970,2.8353333333333333,Future Blues (Expanded Edition),False
Candida,The Dawn,1970,3.04955,Candida,False
No Time,The Guess Who,1970,3.8317666666666668,American Woman,False
Apeman (2020 Stereo Remaster),The Kinks,1970,3.8923666666666668,"Lola Versus Powerman and the Moneygoround, Pt. 1",False
Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,The Temptations,2000,4.1033333333333335,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s",False
Green-Eyed Lady,Sugarloaf,1970,3.6626666666666665,Green-Eyed Lady,False
Question,The Moody Blues,1970,5.7371,A Question Of Balance,False
You Can Get It If You Really Want,Desmond Dekker,1970,2.6386666666666665,You Can Get It If You Really Want,False
Still Water (Love),Four Tops,1970,3.244883333333333,Still Waters Run Deep,False
Call Me,Aretha Franklin,1970,3.9511,This Girl's in Love with You,False
It's Only Make Believe,Glen Campbell,1970,2.458,Glen Campbell Goodtime Album,False
Give Me Just A Little More Time,Chairmen Of The Board,1989,2.6706666666666665,Soul Agenda,False
Ruby Tuesday,Melanie,1970,4.647333333333333,Candles In The Rain,False
Patches,Clarence Carter,1970,3.2304333333333335,Patches,False
Woodstock,Matthews' Southern Comfort,2016,4.488883333333333,Later That Same Year,False
Love on a Two Way Street,The Moments,1996,3.617766666666667,Love On A Two-Way Street (US Release),False
Get Ready,Rare Earth,1969,21.538216666666667,Get Ready,False
Turn Back The Hands Of Time,Tyrone Davis,1970,2.97755,Turn Back The Hands Of Time,False
Love of the Common People,Nicky Thomas,1970,2.407766666666667,Love of the Common People,False
Daughter Of Darkness,Tom Jones,1970,3.2969833333333334,I Who Have Nothing,False
Black Night,Deep Purple,2000,3.4577666666666667,The Very Best of Deep Purple,False
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,2002,4.7971,The Essential Sly & The Family Stone,False
Reflections of My Life,Marmalade,1969,4.188,Reflections of My Life (Original Recordings),False
To Be Young Gifted and Black,Bob & Marcia,1970,3.14755,"Young, Gifted & Black",False
I Don't Believe In If Anymore,Roger Whittaker,1985,3.2584333333333335,Roger Whittaker - The Best Of (1967 - 1975),False
Ride A White Swan,T. Rex,2011,2.1997666666666666,Get It On: The Collection,False
The Letter - Single Version,Joe Cocker,1999,4.1771,The Anthology,False
"Abraham, Martin & John",Marvin Gaye,1997,4.2537666666666665,The Very Best Of Marvin Gaye,False
Montego Bay,Bobby Bloom,1970,2.9411,The Bobby Bloom Album,False
The Green Manalishi (With the Two Prong Crown) - 2013 Remaster,Fleetwood Mac,1969,4.61835,Then Play On (2013 Remaster; Expanded Edition),False
Something - 1994 Remaster,Shirley Bassey,1970,3.588433333333333,Something,False
The Bells,The Originals,2008,2.876,The Complete Motown Singles Vol. 10: 1970,False
Stoned Love - Single Version,The Supremes,2005,2.9628833333333335,Gold,False
Make Me Smile,Chicago,1975,3.0344333333333333,Chicago IX: Chicago's Greatest Hits,False
My Baby Loves Lovin',White Plains,2013,2.6248833333333335,Rewind the 70s - Volume 2,False
Farewell Is A Lonely Sound,Jimmy Ruffin,1969,3.066,Ruff 'N Ready,False
Mama Told Me (Not To Come),Three Dog Night,1998,3.2682166666666665,Boogie Nights #2 (More Music From The Original Motion Picture),False
Didn't I (Blow Your Mind This Time),The Delfonics,1997,3.3548833333333334,La-La Means I Love You,False
Honey Come Back,Glen Campbell,2011,2.966666666666667,Glen Campbell - The Capitol Years 1965 - 1977,False
"Julie, Do Ya Love Me",Bobby Sherman,1970,2.8806166666666666,"With Love, Bobby",False
Indiana Wants Me - Commercial Version,R. Dean Taylor,2008,3.5857666666666668,The Complete Motown Singles Vol. 10: 1970,False
Up The Ladder To The Roof,The Supremes,1970,3.1944333333333335,Right On,False
Down the Dustpipe,Status Quo,1970,2.0504333333333333,Down the Dustpipe,False
Superstar,Murray Head,2012,4.26385,Jesus Christ Superstar,False
(I Know) I'm Losing You - Single Version,Rare Earth,1970,3.5997666666666666,Ecology,False
