cancion,cantante,año,duracion_minutos,album,explicito
"Managua, Nicaragua",Freddy Martin,2009,2.8793333333333333,Greatest Jazz Hits,False
Heartaches,Ted Weems & His Orchestra,2011,2.6686666666666667,The Ultimate Collection,False
Mam'selle,Art Lund,2014,3.2801,Sleepy Time Gal,False
Peg O' My Heart,Jerry Murad's Harmonicats,1950,2.2302166666666667,Selected Favorites,False
"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",Perry Como,2000,2.9328833333333333,The Very Best Of Perry Como,False
Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,1996,2.91155,Vintage Collections,False
Near You,Francis Craig,2010,2.820883333333333,The Golden Age of Light Music: The Pianist in the Spotlight,False
Dance Ballerina Dance,Vaughn Monroe,2000,3.467783333333333,Time On My Hands,False
I'm Looking over a Four Leaf Clover,Russ Morgan and His Orchestra,1966,2.5587166666666668,Music in the Morgan Manner,False
Manana (Is Soon Enough For Me),Peggy Lee,1998,2.9788833333333335,The Best Of Miss Peggy Lee,False
Nature Boy,Nat King Cole,1961,2.8922166666666667,The Nat King Cole Story,False
Woody Woodpecker,Kay Kyser,2013,3.000766666666667,Jingle Jangle Jingle,False
Twelfth Street Rag,Pee Wee Hunt,2014,2.9004333333333334,Dixie Hits Con...,False
A Tree In The Meadow - Remastered 1990,Margaret Whiting,1954,2.5733333333333333,Love Songs By,False
Buttons and Bows - 78rpm Version,Dinah Shore & Her Harper Valley Boys,2014,2.0162166666666668,The Essential Dinah Shore,False
A Little Bird Told Me,Paula Watson,2013,2.6479333333333335,The Blues Effect - Paula Watson,False
Cruisin' Down The River,Russ Morgan & His Orchestra Vocal by The Skylarks,2018,2.6031,Music In The Morgan Manner: The Hits Collection 1935-56,False
Riders In the Sky,Vaughn Monroe,2010,2.9451,Best of Vaughn Monroe,False
Some Enchanted Evening,Perry Como,1988,3.4744333333333333,All Time Greatest Hits,False
You're Breaking My Heart,Vic Damone With Orchestra,2016,3.2,Songs,False
That Lucky Old Sun,Frankie Laine,1958,3.5184333333333333,Frankie Laine's Greatest Hits,False
Mule Train,Frankie Laine,2014,2.5968833333333334,The Essential Frankie Laine,False
